bitcoin,Price,Date
,"$50,119.27 USD",1640519106037
,"$50,119.27 USD",1640519108037
,"$50,119.27 USD",1640519136084
,"$50,119.27 USD",1640519138084
,"$50,119.27 USD",1640519140090
,"$50,119.27 USD",1640519142096
,"$50,119.27 USD",1640519144099
,"$50,119.27 USD",1640519152114
,"$50,119.27 USD",1640519156121
,"$50,119.27 USD",1640519160124
,"$50,119.27 USD",1640519162126
,"$50,119.27 USD",1640519166132
,"$50,119.27 USD",1640519178154
,"$50,119.27 USD",1640519180157
,"$50,119.27 USD",1640519182162
,"$50,119.27 USD",1640519186168
,"$50,119.27 USD",1640519188171
,"$50,119.27 USD",1640519204202
,"$50,119.27 USD",1640519206205
,"$50,119.27 USD",1640519212213
,"$50,119.27 USD",1640519218224
,"$50,119.27 USD",1640519220230
,"$50,119.27 USD",1640519224237
,"$50,119.27 USD",1640519230244
,"$50,119.27 USD",1640519236258
,"$50,119.27 USD",1640519238261
,"$50,119.27 USD",1640519242264
,"$50,119.27 USD",1640519250277
,"$50,119.27 USD",1640519254286
,"$50,119.27 USD",1640519260291
,"$50,119.27 USD",1640519262297
,"$50,119.27 USD",1640519264300
,"$50,119.27 USD",1640519268308
,"$50,119.27 USD",1640519270311
,"$50,119.27 USD",1640519274320
,"$50,119.27 USD",1640519284342
,"$50,119.27 USD",1640519288351
,"$50,119.27 USD",1640519294362
