ethereum,Price,Date
,"$4,066.04 USD",1640519106037
,"$4,066.04 USD",1640519108037
,"$4,066.04 USD",1640519114045
,"$4,066.04 USD",1640519120056
,"$4,066.04 USD",1640519122059
,"$4,066.04 USD",1640519128070
,"$4,066.04 USD",1640519136084
,"$4,066.04 USD",1640519138084
,"$4,066.04 USD",1640519140090
,"$4,066.04 USD",1640519146104
,"$4,066.04 USD",1640519152114
,"$4,066.04 USD",1640519154118
,"$4,066.04 USD",1640519156121
,"$4,066.04 USD",1640519158124
,"$4,066.04 USD",1640519176151
,"$4,066.04 USD",1640519180157
,"$4,066.04 USD",1640519182162
,"$4,066.04 USD",1640519194179
,"$4,066.04 USD",1640519196182
,"$4,066.04 USD",1640519202197
,"$4,066.04 USD",1640519204202
,"$4,066.04 USD",1640519210210
,"$4,066.04 USD",1640519216221
,"$4,066.04 USD",1640519218224
,"$4,066.04 USD",1640519220230
,"$4,066.04 USD",1640519234255
,"$4,066.04 USD",1640519240261
,"$4,066.04 USD",1640519248275
,"$4,066.04 USD",1640519250277
,"$4,066.04 USD",1640519264300
,"$4,066.04 USD",1640519270311
,"$4,066.04 USD",1640519274320
,"$4,066.04 USD",1640519278330
,"$4,066.04 USD",1640519280334
,"$4,066.04 USD",1640519288351
,"$4,066.04 USD",1640519290354
,"$4,066.04 USD",1640519294362
